,bathroom,bedroom,city,geohash,list_price,property_type,school_ratingE,school_ratingH,school_ratingM,size
0,2.0,1.0,San Francisco,9q8yywc2x2re,1040000.0,Condo,3.0,9.0,5.0,1334.0
1,3.0,3.0,San Francisco,9q8yyhkhvx3c,2395000.0,Condo,3.0,4.0,9.0,2482.0
2,1.0,1.0,San Francisco,9q8yyhxevru0,749000.0,Condo,8.0,4.0,6.0,548.0
3,2.0,2.0,San Francisco,9q8yyjzkw2z6,797000.0,Condo,8.0,,5.0,882.0
4,1.0,1.0,San Francisco,9q8yyjjdq2yf,1049000.0,Condo,8.0,4.0,6.0,730.0
5,1.0,2.0,San Francisco,9q8yy5gdwrh6,899000.0,Condo,9.0,4.0,6.0,876.0
6,1.0,1.0,San Francisco,9q8yy5gdwrh6,799000.0,Condo,9.0,4.0,6.0,698.0
7,1.0,1.0,San Francisco,9q8yy5gdwrh6,999000.0,Condo,9.0,4.0,6.0,884.0
8,1.0,1.0,San Francisco,9q8yyjzkw2z6,650000.0,Condo,8.0,,5.0,706.0
9,1.0,1.0,San Francisco,9q8yydcw3w49,772000.0,Single Family,7.0,4.0,5.0,673.0
10,2.0,3.0,San Francisco,9q8yy4vm427h,1295000.0,Condo,9.0,4.0,6.0,1636.0
11,3.0,2.0,San Francisco,9q8yymrbtru2,1395000.0,Single Family,6.0,,5.0,1909.0
12,4.0,3.0,San Francisco,9q8yyw1m6jve,4795000.0,Condo,8.0,,5.0,3390.0
13,2.0,1.0,San Francisco,9q8yyk176tu0,699000.0,Condo,10.0,4.0,5.0,830.0
14,2.5,2.0,San Francisco,9q8yymjc23gu,1150000.0,Condo,9.0,9.0,5.0,1778.0
15,2.0,2.0,San Francisco,9q8yydcw3w49,1107000.0,Condo,7.0,4.0,5.0,845.0
16,2.0,2.0,San Francisco,9q8yyk176tu0,989000.0,Condo,10.0,4.0,5.0,1160.0
17,2.0,1.0,San Francisco,9q8yys2sqcjs,989000.0,Condo,9.0,4.0,5.0,1439.0
18,2.0,2.0,San Francisco,9q8yy4vnp9t6,1049000.0,Condo,2.0,4.0,6.0,1175.0
19,2.0,4.0,San Francisco,,1295000.0,,6.0,4.0,5.0,1519.0
