,bathroom,bedroom,city,facts,is_for_sale,latitude,list_price,longitude,property_type,size,sold_price,state,street_address,zipcode,zpid
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 2,395 sqft', 'Single Family', 'Built in 2005', 'All time views: 4,815', 'Last sold: Feb 2017 for $575,000', 'Last sale price/sqft: $341']",False,37.010473,,-121.585415,Single Family,1684,575000.0,CA,7810 Dickens Way,95020,69300019
0,3.0,4.0,Gilroy,[],False,36.990011,,-121.575718,Single Family,2045,665000.0,CA,6380 Snowberry Ct,95020,19859954
0,2.0,2.0,Gilroy,"['Baths: 1 full, 1 half', 'Lot: 914 sqft', 'Townhouse', 'Built in 1982', '111 days on Zillow', 'Views since listing: 4,645', 'All time views: 6,248', '39 shoppers saved this home', 'HOA Fee: $220/mo', 'Last sold: Feb 2017 for $435,000', 'Price/sqft: $357', 'MLS #: ML81630897', 'Flooring: Laminate, Tile']",False,37.016869,440000.0,-121.599785,Townhouse,1231,,CA,8400 Delta Dr,95020,19852586
0,4.0,4.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 5,999 sqft', 'Single Family', 'Built in 2012', 'All time views: 6,690', 'Heating: Forced air', 'Last sold: Feb 2017 for $875,000', 'Last sale price/sqft: $278', 'Garden', 'Parking: Garage - Attached, 467 sqft garage']",False,37.034745,,-121.612634,Single Family,3153,875000.0,CA,1520 Cielo Vista Ln,95020,64624932
0,2.0,3.0,Gilroy,[],False,37.033267,,-121.600563,Single Family,2261,739000.0,CA,9701 Comanche St,95020,112093415
0,1.5,3.0,Gilroy,"['Lot: 5,002 sqft', 'Single Family', 'Built in 1977', 'All time views: 92', 'Last sold: Feb 2017 for $174,000', 'Last sale price/sqft: $145', 'Parking: 288 sqft garage']",False,37.016428,,-121.56529,Single Family,1200,174000.0,CA,490 Polk Ct,95020,19864253
0,2.0,3.0,Gilroy,[],False,37.024994,,-121.599823,Single Family,1322,590000.0,CA,1157 Lerma Ln,95020,19852978
0,3.0,5.0,Gilroy,[],False,37.034491,,-121.60303,Single Family,3020,839000.0,CA,1141 Rio Grande Way,95020,63066955
0,3.0,4.0,Gilroy,"['Single Family', 'All time views: 23', 'Last sold: Feb 2017 for $656,990', 'Last sale price/sqft: $301']",False,37.012654,,-121.600413,Single Family,2182,656990.0,CA,2540 Apple Tree,95020,2095326280
0,2.0,4.0,Gilroy,"['Lot: 7,475 sqft', 'Single Family', 'Built in 1978', 'All time views: 7,500', 'Cooling: Central, Solar', 'Heating: Forced air', 'Last sold: Feb 2017 for $680,000', 'Last sale price/sqft: $370', 'Ceiling Fan', 'Deck', 'Double Pane/Storm Windows', 'Fenced Yard', 'Fireplace', 'Flooring: Carpet, Hardwood, Tile', 'Parking: Garage - Attached, 2 spaces, 471 sqft garage', 'Patio', 'Pool', 'Sprinkler System']",False,37.004273,,-121.585331,Single Family,1839,680000.0,CA,940 Perrelli St,95020,19859389
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Single Family', 'All time views: 8', 'Last sold: Feb 2017 for $648,666', 'Last sale price/sqft: $347']",False,,,,,1870,648666.0,CA,2510 Apple Tree,95020,2095250922
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 9,016 sqft', 'Single Family', 'Built in 1977', 'All time views: 3,274', 'Last sold: Feb 2017 for $675,000', 'Last sale price/sqft: $231']",False,36.999636,,-121.577302,Single Family,2918,675000.0,CA,7145 Concord Pl,95020,19857852
0,4.0,6.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 1 acre', 'Single Family', 'Built in 1965', 'All time views: 5,878', 'Cooling: Wall', 'Heating: Baseboard, Radiant', 'Last sold: Feb 2017 for $695,000', 'Last sale price/sqft: $397', 'Ceiling Fan', 'Flooring: Carpet, Linoleum / Vinyl, Tile', 'Lawn', 'Parking: Off street', 'Patio', 'Porch', 'Sprinkler System', 'Vaulted Ceiling', 'View: Mountain']",False,37.019581,,-121.531285,Single Family,1750,695000.0,CA,7455 Furlong Ave,95020,2096634839
0,3.0,5.0,Gilroy,[],False,36.992644,,-121.58196,Single Family,3539,934888.0,CA,6680 Bogiala,95020,2095403678
0,0,0,Gilroy,"['Lot: 0.3 acres', 'Multi Family', 'Built in 1998', 'All time views: 296', 'Last sold: Feb 2017 for $1,181,000', 'Last sale price/sqft: $251']",False,37.005674,,-121.561538,Multi Family,4710,1181000.0,CA,440 Old Gilroy St,95020,19864021
0,3.0,4.0,Gilroy,[],False,37.030102,,-121.610476,Single Family,2639,771000.0,CA,9496 Rancho Hills Dr,95020,19854067
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 6,359 sqft', 'Single Family', 'Built in 1978', 'All time views: 3,678', 'Heating: Forced air', 'Last sold: Feb 2017 for $615,000', 'Last sale price/sqft: $322', 'Fireplace', 'Flooring: Hardwood, Tile', 'Parking: Garage - Attached']",False,36.978149,,-121.571495,Single Family,1908,615000.0,CA,755 Lisa Ct,95020,19860130
0,2.5,4.0,Gilroy,[],False,37.028727,,-121.595385,Single Family,1504,584000.0,CA,841 Woodcreek Way,95020,19856329
0,2.0,3.0,Gilroy,"['Lot: 10,454 sqft', 'Single Family', 'Built in 1990', 'All time views: 6,538', 'Cooling: Central', 'Heating: Forced air', 'Last sold: Jan 2017 for $511,350', 'Last sale price/sqft: $333', 'Barbecue', 'Cable Ready', 'Ceiling Fan', 'Double Pane/Storm Windows', 'Fenced Yard', 'Fireplace', 'Flooring: Carpet, Hardwood, Laminate', 'Lawn', 'Parking: Garage - Attached, Off street, 2 spaces, 506 sqft garage', 'Patio', 'Pool', 'Sports Court', 'Tennis Court']",False,37.015545,,-121.593264,Single Family,1534,511350.0,CA,1045 Buttercup Ln,95020,19855690
0,2.0,3.0,Gilroy,"['Lot: 8,015 sqft', 'Single Family', 'Built in 1976', 'All time views: 4,245', 'Last sold: Jan 2017 for $615,000', 'Last sale price/sqft: $437']",False,37.0172,,-121.588389,Single Family,1406,615000.0,CA,846 Welburn Ave,95020,19855050
0,3.0,5.0,Gilroy,[],False,36.998884,,-121.577041,Single Family,2596,667500.0,CA,7105 Concord Pl,95020,19857856
0,2.0,4.0,Gilroy,"['Lot: 7,013 sqft', 'Single Family', 'Built in 1978', 'All time views: 3,654', 'Last sold: Jan 2017 for $675,000', 'Last sale price/sqft: $367', 'Ceiling Fan', 'Fireplace', 'Flooring: Carpet, Laminate, Tile', 'Parking: Garage - Attached, 471 sqft garage', 'View: City, Mountain']",False,37.005538,,-121.58932,Single Family,1839,675000.0,CA,7570 Santa Paula Dr,95020,19859494
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 2,700 sqft', 'Single Family', 'Built in 2015', 'All time views: 6,457', 'HOA Fee: $149/mo', 'Last sold: Jan 2017 for $620,000', 'Last sale price/sqft: $306', 'Double Pane/Storm Windows', 'Fenced Yard', 'Flooring: Laminate, Tile', 'Parking: Garage - Attached, On street', 'Waterfront']",False,37.0212,,-121.4596,Single Family,2028,620000.0,CA,127 Palomino Pl,95020,2097035506
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 6,011 sqft', 'Single Family', 'Built in 1978', 'All time views: 3,223', 'Last sold: Jan 2017 for $600,000', 'Last sale price/sqft: $378', 'Fireplace', 'Pool']",False,36.996616,,-121.57158,Single Family,1588,600000.0,CA,6870 Glenview Dr,95020,19858023
0,2.0,3.0,Gilroy,[],False,37.022164,,-121.58791,Single Family,1714,555000.0,CA,771 Maria Way,95020,19854908
0,2.0,4.0,Gilroy,[],False,37.030977,,-121.610243,Single Family,1927,685000.0,CA,1528 Jackdow Ct,95020,19854088
0,2.0,3.0,Gilroy,[],False,37.004725,,-121.570195,Single Family,1600,575000.0,CA,7308 Church St,95020,19856680
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 0.32 acres', 'Single Family', 'Built in 1990', 'All time views: 4,244', 'Last sold: Jan 2017 for $1,015,000', 'Last sale price/sqft: $319', '300 sqft basement', 'Attic', 'Barbecue', 'Cable Ready', 'Ceiling Fan', 'Deck', 'Disability Access', 'Double Pane/Storm Windows', 'Fenced Yard', 'Fireplace', 'Flooring: Carpet, Hardwood, Tile', 'Garden', 'Hot Tub/Spa', 'Intercom', 'Jetted Tub', 'Lawn', 'Parking: Garage - Attached, 8 spaces, 896 sqft garage', 'Partial basement', 'Patio', 'Pond', 'RV Parking', 'Security System', 'Skylight', 'Sprinkler System', 'Storage', 'Vaulted Ceiling', 'View: City, Mountain', 'Wired']",False,37.017986,,-121.602688,Single Family,3182,1015000.0,CA,1445 Welburn Ave,95020,19852437
0,1.0,2.0,Gilroy,"['Condo', 'Built in 1979', 'All time views: 3,905', 'HOA Fee: $225/mo', 'Cooling: Central', 'Heating: Forced air', 'Laundry: In Unit', 'Parking: Carport, Off street', 'Last sold: Jan 2017 for $309,000', 'Last sale price/sqft: $374', 'Flooring: Tile']",False,37.014669,,-121.594135,Condo,826,309000.0,CA,8155 Westwood Dr APT 1,95020,19855833
