SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,0 Dry Well Rd,BOULDER CREEK,CA,95006,135000,,,BOULDER CREEK,,89908,,844,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Dry-Well-Rd-95006/home/21838409,MLSListings,ML81439070,N,Y,37.1765739,-122.1467989
MLS Listing,,Vacant Land,0 Ralston Ridge Way,BOULDER CREEK,CA,95006,125000,,,BOULDER CREEK,,457816,,29,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Ralston-Rdg-95006/home/40534843,MLSListings,ML81636592,N,Y,37.1453455,-122.0948305
MLS Listing,,Vacant Land,0 Hopkins Gulch,Boulder Creek,CA,95006,325000,,,Boulder Creek,,451281,,2699,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Hopkins-Gulch-Rd-95006/home/21725817,MLSListings,ML80947365,N,Y,37.1469812,-122.1039066
MLS Listing,,Vacant Land,082-331-01 Middleton,BOULDER CREEK,CA,95006,299000,,,BOULDER CREEK,,128937,,35,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/331-Middleton-Dr-95006/home/112929271,MLSListings,ML81636007,N,Y,37.1313173,-122.1200637
MLS Listing,,Vacant Land,0 Quigg Way,Boulder Creek,CA,95006,99500,,,Boulder Creek,,549727,,1114,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Quigg-Way-95006/home/17494932,MLSListings,ML81403291,N,Y,37.1855218,-122.1378699
MLS Listing,,Vacant Land,15971 FOREST HILL Dr,Boulder Creek,CA,95006,149000,,,Boulder Creek,,10672,,1056,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/15971-Forest-Hill-Dr-95006/home/17494633,MLSListings,ML81410795,N,Y,37.142738,-122.088002
MLS Listing,,Single Family Residential,225 Double Bogey Dr,BOULDER CREEK,CA,95006,1795000,8,5.0,BOULDER CREEK,7700,46609,1978,215,233,,Active,,,http://www.redfin.com/CA/Boulder-Creek/225-Double-Bogey-Dr-95006/home/2391776,MLSListings,ML81596639,N,Y,37.1538929,-122.165902
MLS Listing,,Vacant Land,685 MEMORY Ln,BOULDER CREEK,CA,95006,699000,,,BOULDER CREEK,,1785960,,253,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/685-Memory-Ln-95006/home/107328621,MLSListings,ML81590513,N,Y,37.1785805,-122.1636234
MLS Listing,,Vacant Land,0 Big Basin Way,Boulder Creek,CA,95006,2250000,,,Boulder Creek,,6682104,,938,,,Active,,,http://www.redfin.com/CA/Boulder-Creek/Big-Basin-Way-95006/home/49883867,MLSListings,ML81427513,N,Y,37.1927577,-122.1745806
MLS Listing,,Single Family Residential,180 Brier Dr,BOULDER CREEK,CA,95006,369200,2,2.0,BOULDER CREEK,1187,6534,1950,69,311,,Active,,,http://www.redfin.com/CA/Boulder-Creek/180-Brier-Dr-95006/home/2397697,MLSListings,ML81633932,N,Y,37.128048,-122.113073
MLS Listing,,Single Family Residential,17930 Big Basin Way,BOULDER CREEK,CA,95006,499000,1,1.0,BOULDER CREEK,697,14985,1926,1,716,,Active,February-25-2017 01:00 PM,February-25-2017 04:00 PM,http://www.redfin.com/CA/Boulder-Creek/17930-Big-Basin-Way-95006/home/28927276,MLSListings,ML81639640,N,Y,37.167177,-122.165146
MLS Listing,,Single Family Residential,28372 Big Basin Way,BOULDER CREEK,CA,95006,1588888,3,3.0,BOULDER CREEK,2757,1120145,1983,148,576,,Active,,,http://www.redfin.com/CA/Boulder-Creek/28372-Big-Basin-Way-95006/home/2393079,MLSListings,ML81626186,N,Y,37.195952,-122.165908
MLS Listing,,Single Family Residential,15611 Highway 9,BOULDER CREEK,CA,95006,335000,3,2.0,BOULDER CREEK,1344,9757,1940,16,249,,Active,,,http://www.redfin.com/CA/Boulder-Creek/15611-Highway-9-95006/home/2387689,MLSListings,ML81637996,N,Y,37.15424,-122.133928
